"index","value"
1965 Jul,27418
1965 Aug,30592
1965 Sep,23910
1965 Oct,25509
1965 Nov,27003
1965 Dec,20943
1966 Jan,25333
1966 Feb,17004
1966 Mar,20249
1966 Apr,21384
1966 May,19565
1966 Jun,21253
1966 Jul,23041
1966 Aug,23026
1966 Sep,23860
1966 Oct,22295
1966 Nov,27286
1966 Dec,23928
1967 Jan,29008
1967 Feb,18387
1967 Mar,26340
1967 Apr,21437
1967 May,27105
1967 Jun,30316
1967 Jul,22101
1967 Aug,34180
1967 Sep,32133
1967 Oct,29867
1967 Nov,27710
1967 Dec,25342
1968 Jan,29021
1968 Feb,28961
1968 Mar,27995
1968 Apr,29217
1968 May,28804
1968 Jun,27979
1968 Jul,32920
1968 Aug,33006
1968 Sep,33220
1968 Oct,37703
1968 Nov,38679
1968 Dec,30287
1969 Jan,39730
1969 Feb,32205
1969 Mar,31998
1969 Apr,30802
1969 May,33324
1969 Jun,40905
1969 Jul,37808
1969 Aug,38598
1969 Sep,43236
1969 Oct,42834
1969 Nov,44740
1969 Dec,34983
1970 Jan,41918
1970 Feb,39886
1970 Mar,31988
1970 Apr,38448
1970 May,41927
1970 Jun,44844
1970 Jul,44472
1970 Aug,47571
1970 Sep,48929
1970 Oct,44346
1970 Nov,48339
1970 Dec,43879
1971 Jan,48500
1971 Feb,39912
1971 Mar,50887
1971 Apr,53891
1971 May,50401
1971 Jun,52531
1971 Jul,59044
1971 Aug,54300
1971 Sep,36587
1971 Oct,61092
1971 Nov,60590
1971 Dec,57143
1972 Jan,50531
1972 Feb,52125
1972 Mar,50404
1972 Apr,50268
1972 May,38713
1972 Jun,37771
1972 Jul,43622
1972 Aug,76892
1972 Sep,51947
1972 Oct,60594
1972 Nov,70539
1972 Dec,47899
1973 Jan,60827
1973 Feb,75188
1973 Mar,54016
1973 Apr,58675
1973 May,78072
1973 Jun,65174
1973 Jul,73784
1973 Aug,74549
1973 Sep,77458
1973 Oct,91716
1973 Nov,91965
1973 Dec,60324
1974 Jan,105841
1974 Feb,87211
1974 Mar,88854
1974 Apr,98492
1974 May,121904
1974 Jun,113115
1974 Jul,138696
1974 Aug,143828
1974 Sep,125827
1974 Oct,163372
1974 Nov,135675
1974 Dec,109045
1975 Jan,111746
1975 Feb,81967
1975 Mar,85920
1975 Apr,98854
1975 May,113218
1975 Jun,112810
1975 Jul,113540
1975 Aug,124316
1975 Sep,121351
1975 Oct,137219
1975 Nov,126031
1975 Dec,121922
1976 Jan,146690
1976 Feb,121795
1976 Mar,149695
1976 Apr,134872
1976 May,146562
1976 Jun,165519
1976 Jul,159668
1976 Aug,181979
1976 Sep,165070
1976 Oct,196300
1976 Nov,204972
1976 Dec,152772
1977 Jan,177387
1977 Feb,178049
1977 Mar,197014
1977 Apr,188348
1977 May,173982
1977 Jun,184446
1977 Jul,187267
1977 Aug,183766
1977 Sep,176065
1977 Oct,175365
1977 Nov,188566
1977 Dec,140012
