"date","unemp"
"2001 Jan",2017389
"2001 Feb",1993273
"2001 Mar",1981006
"2001 Apr",1910453
"2001 May",1898285
"2001 Jun",1842556
"2001 Jul",1835738
"2001 Aug",1878513
"2001 Sep",1889185
"2001 Oct",1940910
"2001 Nov",1985857
"2001 Dec",1988716
"2002 Jan",2075022
"2002 Feb",2149907
"2002 Mar",2083103
"2002 Apr",2060069
"2002 May",2002923
"2002 Jun",1962963
"2002 Jul",1961852
"2002 Aug",1983982
"2002 Sep",2006785
"2002 Oct",2064513
"2002 Nov",2117144
"2002 Dec",2127018
"2003 Jan",2185156
"2003 Feb",2180216
"2003 Mar",2163499
"2003 Apr",2104474
"2003 May",2035601
"2003 Jun",2020367
"2003 Jul",1995964
"2003 Aug",2016675
"2003 Sep",2039630
"2003 Oct",2096606
"2003 Nov",2143206
"2003 Dec",2181248
"2004 Jan",2232560
"2004 Feb",2219300
"2004 Mar",2181546
"2004 Apr",2162406
"2004 May",2090702
"2004 Jun",2054113
"2004 Jul",2014218
"2004 Aug",2049639
"2004 Sep",2050513
"2004 Oct",2075812
"2004 Nov",2121089
"2004 Dec",2112714
"2005 Jan",2176599
"2005 Feb",2165420
"2005 Mar",2144835
"2005 Apr",2095945
"2005 May",2007393
"2005 Jun",1974860
"2005 Jul",1989417
"2005 Aug",2019110
"2005 Sep",2013286
"2005 Oct",2052861
"2005 Nov",2095580
"2005 Dec",2102937
"2006 Jan",2171503
"2006 Feb",2169277
"2006 Mar",2148530
"2006 Apr",2075676
"2006 May",2004528
"2006 Jun",1959754
"2006 Jul",1954984
"2006 Aug",1983677
"2006 Sep",1966166
"2006 Oct",1992836
"2006 Nov",2023164
"2006 Dec",2022873
"2007 Jan",2082508
"2007 Feb",2075275
"2007 Mar",2059451
"2007 Apr",2023124
"2007 May",1973231
"2007 Jun",1965869
"2007 Jul",1970338
"2007 Aug",2028296
"2007 Sep",2017363
"2007 Oct",2048577
"2007 Nov",2094473
"2007 Dec",2129547
"2008 Jan",2261925
"2008 Feb",2315331
"2008 Mar",2300975
"2008 Apr",2338517
"2008 May",2353575
"2008 Jun",2390424
"2008 Jul",2426916
"2008 Aug",2530001
"2008 Sep",2625368
"2008 Oct",2818026
"2008 Nov",2989269
"2008 Dec",3128963
"2009 Jan",3327801
"2009 Feb",3481859
"2009 Mar",3605402
"2009 Apr",3644880
"2009 May",3620139
"2009 Jun",3564889
"2009 Jul",3544095
"2009 Aug",3629080
"2009 Sep",3709447
"2009 Oct",3808353
"2009 Nov",3868946
"2009 Dec",3923603
"2010 Jan",4048493
"2010 Feb",4130625
"2010 Mar",4166613
"2010 Apr",4142425
"2010 May",4066202
"2010 Jun",3982368
"2010 Jul",3908578
"2010 Aug",3969661
"2010 Sep",4017763
"2010 Oct",4085976
"2010 Nov",4110294
"2010 Dec",4100073
"2011 Jan",4231003
"2011 Feb",4299263
"2011 Mar",4333669
"2011 Apr",4269360
"2011 May",4189659
"2011 Jun",4121801
"2011 Jul",4079742
"2011 Aug",4130927
"2011 Sep",4226744
"2011 Oct",4360926
"2011 Nov",4420462
"2011 Dec",4422359
"2012 Jan",4599829
